,id,uuid,record,associaties_Categorie2,Opgeschoond,associaties_positief_Categorie2,associaties_relevant_Categorie2
zuipfestijnen,594,84xghxzqah1ubzkm,1801,zuipfestijnen,zuipfestijnen,Negatief,Niet bij het kopen van pils
Zuipen,575,mehgtzxb75335kd2,1561,Zuipen,Zuipen,Neutraal,Relevant bij het kopen van pils
zonnetje,430,cnepq7hr88h1muj9,1795,zonnetje,zonnetje,Positief,Relevant bij het kopen van pils
Zon,313,xwx0960rxj5qesfk,1160,Zon,Zon,Positief,Relevant bij het kopen van pils
zon,355,xr82pz30jvveabjn,1358,zon,zon,Positief,Niet bij het kopen van pils
zon,392,bk5b6ez4uew72q65,1566,zon,zon,Positief,Relevant bij het kopen van pils
zon,499,yz2x36mhxxy3yut7,78,zon,zon,Positief,Relevant bij het kopen van pils
Zomer,31,76df8quwcaqhghk6,117,Zomers,Zomer,Positief,Relevant bij het kopen van pils
Zomer~avonden,538,7hcv6t75yhrxb5s7,1124,Zomer avonden,Zomer avonden,Positief,Relevant bij het kopen van pils
Zomer,151,6nvf1jvu8qrygzws,592,Zomer,Zomer,Positief,Relevant bij het kopen van pils
Zomer,235,q67j900rzberknra,907,Zomer,Zomer,Positief,Relevant bij het kopen van pils
Zomer,336,mmzm72psc4dzwyw7,1281,Zomer,Zomer,Positief,Niet bij het kopen van pils
Zomer,345,u4q70tv9svmtd5xp,1328,Zomer,Zomer,Positief,Relevant bij het kopen van pils
Zomer,402,bwpbv9naxd3nudda,1655,Zomer,Zomer,Positief,Niet bij het kopen van pils
Zomer,603,dfkshwjh44d4553y,2008,Zomer,Zomer,Positief,Niet bij het kopen van pils
zomer,11,zfc0bjg2c51eduk8,38,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,58,gm8p7uszr7b9jz5x,206,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,261,6qxg4w29gyeg5cge,978,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,276,6squczgdba4eehqk,1014,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,460,7e0hbusbrufv029s,1997,zomer,zomer,Positief,Niet bij het kopen van pils
zomer,531,zepkp4ymc1cmjve9,733,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,533,vyfatjm51ecass9j,771,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,584,jbkmnwvm1rjdu77f,1665,zomer,zomer,Positief,Relevant bij het kopen van pils
Zo~koud~mogelijk,140,sckzvhbrq6720q40,557,Zo koud mogelijk,Zo koud mogelijk,Positief,Niet bij het kopen van pils
zin,66,ytjsma1gh3xtacp0,235,zin,zin,Positief,Niet bij het kopen van pils
zacht,253,wjhjwq8cdcx07q3x,952,zacht,zacht,Positief,Relevant bij het kopen van pils
waterig,584,jbkmnwvm1rjdu77f,1665,wqaterig,waterig,Negatief,Niet bij het kopen van pils
,351,6d49pxhsypk4f81v,1350,Wixked,,Positief,Relevant bij het kopen van pils
witte~kraag,144,tqq24qmqu4hpp1w7,570,witte kraag,witte kraag,Positief,Niet bij het kopen van pils
Witbier,217,eqpdt52k1httyf3b,840,Witbier,Witbier,Positief,Niet bij het kopen van pils
Wieckse,596,2nek6ab6m3427hwa,1835,wietcke,Wieckse,Positief,Relevant bij het kopen van pils
Wieckse,516,4af2qn1j5y46yqw3,423,Wiekse,Wieckse,Positief,Niet bij het kopen van pils
Wieckse,286,4jsfgf6vuj41hfsz,1067,Wieckse,Wieckse,Positief,Relevant bij het kopen van pils
