Associaties;Positief/negatief;Relevant/niet relevant;Socdemo;Missie;Kopen Energiedrank;Drinken energiedrank;Kopen Red Bull;;;Positief/negatief;Relevant/niet relevant
zwerfvuil;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zure zooi;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;2-6x per week;1x per dag;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
zou ik nooit nemen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zonder coffeïne oke;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Minder dan 1x per jaar;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoetstof;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoetigheid;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Minder dan 1x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoete limonade;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoete geur;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
zoete drank;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet sterksmakend drankje;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
zoet en lekker;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Direct consumption - functional;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
zoet en geeft energie;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Stocking up;1x per maand;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Zoet;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;Minder dan 1x per jaar;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;On the go;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Zoet;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;2-6x per week;2-6x per week;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
